Hello, world!
num: 000111011101   result: 0001 1101 1101
num: 000111100000   result: 0001 1110 0000
num: 000111100011   result: 0001 1110 0011
num: 000111100110   result: 0001 1110 0110
num: 000111101001   result: 0001 1110 1001
num: 000111101100   result: 0001 1110 1100
num: 000111101111   result: 0001 1110 1111
num: 000111110010   result: 0001 1111 0010
num: 000111110101   result: 0001 1111 0101
num: 000111111000   result: 0001 1111 1000
num: 000111111011   result: 0001 1111 1011
num: 000111111110   result: 0001 1111 1110
num: 001000000001   result: 0010 0000 0001
num: 001000000100   result: 0010 0000 0100
num: 001000000111   result: 0010 0000 0111
num: 001000001010   result: 0010 0000 1010
num: 001000001101   result: 0010 0000 1101
num: 001000010000   result: 0010 0001 0000
num: 001000010011   result: 0010 0001 0011
num: 001000010110   result: 0010 0001 0110
num: 001000011001   result: 0010 0001 1001
num: 001000011100   result: 0010 0001 1100
num: 001000011111   result: 0010 0001 1111
num: 001000100010   result: 0010 0010 0010
num: 001000100101   result: 0010 0010 0101
num: 001000101000   result: 0010 0010 1000
num: 001000101011   result: 0010 0010 1011
num: 001000101110   result: 0010 0010 1110
num: 001000110001   result: 0010 0011 0001
num: 001000110100   result: 0010 0011 0100
num: 001000110111   result: 0010 0011 0111
num: 001000111010   result: 0010 0011 1010
num: 001000111101   result: 0010 0011 1101
num: 001001000000   result: 0010 0100 0000
num: 001001000011   result: 0010 0100 0011
num: 001001000110   result: 0010 0100 0110
num: 001001001001   result: 0010 0100 1001
num: 001001001100   result: 0010 0100 1100
num: 001001001111   result: 0010 0100 1111
num: 001001010010   result: 0010 0101 0010
num: 001001010101   result: 0010 0101 0101
num: 001001011000   result: 0010 0101 1000
num: 001001011011   result: 0010 0101 1011
num: 001001011110   result: 0010 0101 1110
num: 001001100001   result: 0010 0110 0001
num: 001001100100   result: 0010 0110 0100
num: 001001100111   result: 0010 0110 0111
num: 001001101010   result: 0010 0110 1010
num: 001001101101   result: 0010 0110 1101
num: 001001110000   result: 0010 0111 0000
num: 001001110011   result: 0010 0111 0011
num: 001001110110   result: 0010 0111 0110
num: 001001111001   result: 0010 0111 1001
num: 001001111100   result: 0010 0111 1100
num: 001001111111   result: 0010 0111 1111
num: 001010000010   result: 0010 1000 0010
num: 001010000101   result: 0010 1000 0101
num: 001010001000   result: 0010 1000 1000
num: 001010001011   result: 0010 1000 1011
num: 001010001110   result: 0010 1000 1110
num: 001010010001   result: 0010 1001 0001
num: 001010010100   result: 0010 1001 0100
num: 001010010111   result: 0010 1001 0111
num: 001010011010   result: 0010 1001 1010
num: 001010011101   result: 0010 1001 1101
num: 001010100000   result: 0010 1010 0000
num: 001010100011   result: 0010 1010 0011
num: 001010100110   result: 0010 1010 0110
num: 001010101001   result: 0010 1010 1001
num: 001010101100   result: 0010 1010 1100
num: 001010101111   result: 0010 1010 1111
num: 001010110010   result: 0010 1011 0010
num: 001010110101   result: 0010 1011 0101
num: 001010111000   result: 0010 1011 1000
num: 001010111011   result: 0010 1011 1011
